Vivado Simulator 2018.2
Time resolution is 1 ps
At time   0ns: sys_rst_n = 0, i_start = 0, a_to_g = 192, an =  x
At time  40ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  x
At time  60ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  1
At time 140ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  2
At time 220ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  4
At time 300ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  8
At time 380ns: sys_rst_n = 1, i_start = 0, a_to_g = 249, an =  1
At time 460ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  2
At time 540ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  4
At time 620ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  8
At time 700ns: sys_rst_n = 1, i_start = 0, a_to_g = 164, an =  1
At time 780ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  2
At time 860ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  4
At time 940ns: sys_rst_n = 1, i_start = 0, a_to_g = 192, an =  8
