Vivado Simulator 2018.2
Time resolution is 1 ps
                   0L = 00000, led= 0
                  10L = 00001, led= 0
                  20L = 00010, led= 0
                  30L = 00011, led= 0
                  40L = 00100, led= 0
                  50L = 00101, led= 0
                  60L = 00110, led= 0
                  70L = 00111, led= 1
                  80L = 01000, led= 0
                  90L = 01001, led= 0
                 100L = 01010, led= 0
                 110L = 01011, led= 1
                 120L = 01100, led= 0
                 130L = 01101, led= 1
                 140L = 01110, led= 1
                 150L = 01111, led= 1
                 160L = 10000, led= 0
                 170L = 10001, led= 0
                 180L = 10010, led= 0
                 190L = 10011, led= 1
                 200L = 10100, led= 0
                 210L = 10101, led= 1
                 220L = 10110, led= 1
                 230L = 10111, led= 1
                 240L = 11000, led= 0
                 250L = 11001, led= 1
                 260L = 11010, led= 1
                 270L = 11011, led= 1
                 280L = 11100, led= 1
                 290L = 11101, led= 1
                 300L = 11110, led= 1
                 310L = 11111, led= 1
