Vivado Simulator 2018.2
Time resolution is 1 ps
                   0x = 0000, a_to_g = 0000001
                  10x = 0001, a_to_g = 1001111
                  20x = 0010, a_to_g = 0010010
                  30x = 0011, a_to_g = 0000110
                  40x = 0100, a_to_g = 1001100
                  50x = 0101, a_to_g = 0100100
                  60x = 0110, a_to_g = 0100000
                  70x = 0111, a_to_g = 0001111
                  80x = 1000, a_to_g = 0000000
                  90x = 1001, a_to_g = 0000100
                 100x = 1010, a_to_g = 1111111
                 110x = 1011, a_to_g = 1111111
                 120x = 1100, a_to_g = 1111111
                 130x = 1101, a_to_g = 1111111
                 140x = 1110, a_to_g = 1111111
                 150x = 1111, a_to_g = 1111111
